"chr","start","end","strand","pvalue","qvalue","meth.diff"
"chr1",9465727,9465727,"+",7.82904852059119e-11,1.7526750883274e-08,15.588748999345
"chr1",9552575,9552575,"+",5.34128297147163e-13,1.76411584154427e-10,-17.8341235484093
"chr1",9664754,9664754,"+",1.89848137210902e-14,7.75935559161691e-12,-22.8735156034245
"chr1",10342521,10342521,"+",6.1202409806782e-10,1.14063018232435e-07,15.3922986567796
"chr1",10388741,10388741,"+",4.74565076125089e-09,7.22804304637194e-07,-16.7197092084006
"chr1",10485858,10485858,"+",1.23262511309008e-10,2.64980448562646e-08,17.551771899598
"chr1",10596022,10596022,"+",2.0978774273317e-11,5.25489133237504e-09,-17.7935130196437
"chr1",10695747,10695747,"+",1.85767634230949e-06,0.000141126166180993,-17.4487418062331
"chr1",10695754,10695754,"+",1.16170462138854e-09,2.0313663068586e-07,-23.0621310309021
"chr1",10695761,10695761,"+",5.48386203680362e-06,0.000358088891239371,-17.4362674362674
"chr1",10747151,10747151,"+",3.33066907387547e-16,1.69993895850171e-13,15.2635228848821
"chr1",10917439,10917439,"+",8.77076189453874e-14,3.26210110353582e-11,18.3855083104422
"chr1",11133242,11133242,"+",0,0,24.6778664071261
"chr1",11547463,11547463,"+",7.34254126610878e-07,6.30910796127327e-05,15.017850816232
"chr1",11807426,11807426,"+",0,0,19.4732914329691
"chr1",11938049,11938049,"+",1.40514819346738e-06,0.000110828580355069,-16.4800771208226
"chr1",12046182,12046182,"+",1.56335604128977e-07,1.62647353375878e-05,-17.1135863586359
"chr1",12120304,12120304,"+",3.02665157381199e-08,3.8046124474284e-06,15.9669781134007
"chr1",12249020,12249020,"+",5.41883027782575e-07,4.83579546337705e-05,-15.9943039035014
"chr1",12313464,12313464,"+",2.00802586480808e-06,0.000150976779901365,-16.7213914740841
"chr1",12609644,12609644,"+",0,0,16.4287161260025
"chr1",12616519,12616519,"+",0.000134672156788307,0.00525584340537527,15.6633906633907
"chr1",12753655,12753655,"+",3.33283288633801e-07,3.16199298687852e-05,-18.0880925864416
"chr1",13881513,13881513,"+",8.15700651468632e-09,1.17528283387366e-06,-23.2173382173382
"chr1",13946585,13946585,"+",6.1775029536193e-12,1.71049344289871e-09,25.6480774127833
"chr1",14119840,14119840,"+",0,0,-27.2421650572911
"chr1",14609021,14609021,"+",6.66672395728263e-05,0.00294822151862724,16.2059188374978
"chr1",14714495,14714495,"+",1.44464273876821e-09,2.47501692267965e-07,-17.3595505617977
"chr1",14935303,14935303,"+",0,0,18.5413504823151
"chr1",15266213,15266213,"+",0,0,-15.9068419564603
"chr1",15375263,15375263,"+",0,0,27.7320952681282
"chr1",15390210,15390210,"+",0,0,17.532956046882
"chr1",15410360,15410360,"+",1.08801856413265e-14,4.61706665729668e-12,-18.9599117353403
"chr1",15410374,15410374,"+",4.65361083001881e-11,1.08799135887361e-08,-16.2911593894712
"chr1",15541411,15541411,"+",1.58761892521397e-14,6.55988012566359e-12,-19.0837436767894
"chr1",15705932,15705932,"+",1.49725728648686e-06,0.000116997651999194,-16.4979345353707
"chr1",15705940,15705940,"+",2.38980158995261e-07,2.36082116443306e-05,-17.3711088172978
"chr1",15705952,15705952,"+",3.60002996080411e-07,3.38235601703175e-05,-15.8525124664365
"chr1",15706063,15706063,"+",1.34517106031851e-05,0.000770927238544256,-17.472608057976
"chr1",15739350,15739350,"+",0,0,18.489942132819
"chr1",15764149,15764149,"+",1.66644475996236e-13,5.94310290540937e-11,16.0447144392098
"chr1",15847073,15847073,"+",1.83679738086084e-11,4.660392542587e-09,-16.559474145035
"chr1",16246057,16246057,"+",3.28113865633028e-07,3.11916225936915e-05,15.542179600535
"chr1",16278256,16278256,"+",1.34462232015409e-07,1.42351330159673e-05,-17.3180357002849
"chr1",16448295,16448295,"+",0,0,-19.0182271610371
"chr1",16641899,16641899,"+",0,0,17.7542012775173
"chr1",16901713,16901713,"+",5.5942830146094e-08,6.55778675919878e-06,-15.8535085561685
"chr1",16911958,16911958,"+",4.44775647800988e-06,0.000299257616624724,-18.9333256497436
"chr1",16930997,16930997,"+",1.14740948964354e-08,1.59744220776545e-06,-15.6630094478154
"chr1",17449938,17449938,"+",1.66007077569974e-05,0.000921125030897526,16.5278458272089
"chr1",17614113,17614113,"+",4.04291925838463e-05,0.00194796209802446,-15.9433819447949
"chr1",17614144,17614144,"+",1.88535186351757e-08,2.48930006049567e-06,-17.4102947241736
"chr1",17719920,17719920,"+",0,0,16.6019054012186
"chr1",17719944,17719944,"+",5.55111512312578e-16,2.77330253705697e-13,15.4240042589557
"chr1",17720058,17720058,"+",0,0,-18.9214369285436
"chr1",17956855,17956855,"+",2.0490268033635e-05,0.00110069720774547,-15.4972095383054
"chr1",18044016,18044016,"+",0,0,18.7501104170282
"chr1",18438805,18438805,"+",5.70779212227812e-07,5.05885731958404e-05,18.2829268292683
"chr1",18483917,18483917,"+",8.61977156318972e-12,2.32253978891088e-09,22.1799370220423
"chr1",18650704,18650704,"+",0,0,-19.1342265995962
"chr1",18997511,18997511,"+",0,0,32.8311626429479
"chr1",19040475,19040475,"+",6.03070353655255e-07,5.30781164281898e-05,18.479702001389
"chr1",19113512,19113512,"+",2.22044604925031e-16,1.15521162270675e-13,15.9610521250346
"chr1",19186260,19186260,"+",1.33308167260537e-06,0.000105903522873173,16.9947557415588
"chr1",19208701,19208701,"+",0,0,-17.9357815513785
"chr1",19355948,19355948,"+",1.67625740510324e-06,0.000128966067607129,-15.6066392479436
"chr1",19407826,19407826,"+",1.85618964021472e-06,0.000141016910212017,-16.1425680011848
"chr1",19682428,19682428,"+",0,0,-19.0361644311249
"chr1",20136120,20136120,"+",1.39732669879322e-12,4.32359844558707e-10,18.091492776886
"chr1",20146416,20146416,"+",5.3767457153242e-10,1.01495692651677e-07,-15.2326697672005
"chr1",20301963,20301963,"+",2.1094237467878e-15,9.83970233804557e-13,-16.3173149015059
"chr1",20437540,20437540,"+",5.6621374255883e-15,2.49458437034364e-12,-15.8829158290619
"chr1",20480840,20480840,"+",2.30854853666695e-06,0.000170275765244999,-17.3638475563136
"chr1",20697362,20697362,"+",2.48814185033197e-07,2.44648848773753e-05,-15.3340256143994
"chr1",20857642,20857642,"+",0,0,16.6629176319555
"chr1",20915172,20915172,"+",1.00190966634273e-11,2.66619549474488e-09,-15.0771045172544
"chr1",21396338,21396338,"+",8.89322631043576e-05,0.00373574628331443,-15.0418060200669
"chr1",21396396,21396396,"+",5.05108406756438e-06,0.000333820809486618,-18.721187534575
"chr1",21588727,21588727,"+",9.15841874385981e-05,0.00382832390070292,-17.1431958742516
"chr1",21656047,21656047,"+",2.1094237467878e-15,9.83970233804557e-13,15.2334194640002
"chr1",21664279,21664279,"+",0.000230822429064137,0.00811662198618512,-16.0542679479932
"chr1",21781553,21781553,"+",1.70476212040249e-05,0.000941964896838129,-18.4976422045388
"chr1",21833509,21833509,"+",1.28081858671303e-05,0.000739542465864189,-20.1649515738499
"chr1",21870213,21870213,"+",2.8435925625292e-07,2.75257502932543e-05,21.937202130642
"chr1",21885560,21885560,"+",9.44224342713795e-07,7.85358969513067e-05,-19.8403570114096
"chr1",21896917,21896917,"+",4.81522890605213e-06,0.000320405483362795,-18.0492075549433
"chr1",21896925,21896925,"+",1.97525623302219e-07,1.99686519238049e-05,-20.6025134975727
"chr1",22232745,22232745,"+",8.10638363413219e-06,0.000500800879036192,-17.5038983371952
"chr1",22232766,22232766,"+",1.69708951669456e-06,0.000130358236620396,-17.5243664717349
"chr1",22232772,22232772,"+",4.19448159671987e-06,0.00028458270732209,-15.4233080742096
"chr1",22328279,22328279,"+",0,0,-24.7509441403286
"chr1",22336307,22336307,"+",0,0,-26.5753230312555
"chr1",22718244,22718244,"+",0,0,18.2913541056504
"chr1",22718327,22718327,"+",4.44089209850063e-16,2.23710827161245e-13,20.0488502644932
"chr1",22867029,22867029,"+",1.84800041935773e-08,2.44554085164913e-06,-16.5321950568821
"chr1",22867050,22867050,"+",4.49762860288416e-09,6.89038167202061e-07,-17.2726707688483
"chr1",23126621,23126621,"+",0,0,-19.393998951782
"chr1",23197319,23197319,"+",0.000157098745984574,0.00595697320108727,-15.4733975454771
"chr1",23425138,23425138,"+",0,0,17.9917446940428
"chr1",23544928,23544928,"+",3.88568310183413e-05,0.00188445399589521,-15.5790363482671
"chr1",24393281,24393281,"+",0,0,-15.4820935358176
"chr1",24818423,24818423,"+",1.16315487674878e-06,9.41696363866869e-05,-21.345417734333
"chr1",24840767,24840767,"+",0,0,29.1430607188546
"chr1",24859616,24859616,"+",0,0,25.3257920485377
"chr1",24859664,24859664,"+",0,0,30.3921568627451
"chr1",25040331,25040331,"+",1.06815667422211e-11,2.82926906169595e-09,-20.2610377054463
"chr1",25062148,25062148,"+",0,0,-33.4789215274543
"chr1",25184269,25184269,"+",4.44089209850063e-16,2.23710827161245e-13,20.3490634028739
"chr1",25291868,25291868,"+",8.99177663438167e-08,9.96427753657374e-06,17.7013574660633
"chr1",25323046,25323046,"+",0,0,29.489125943158
"chr1",25338798,25338798,"+",3.07531777821168e-14,1.22169039466079e-11,-16.3045638767148
"chr1",25355207,25355207,"+",5.60018698081421e-12,1.56015676645403e-09,-15.604431410883
"chr1",25361252,25361252,"+",0.000100899177700287,0.00414702869606108,-15.0594655353711
"chr1",25361265,25361265,"+",2.12555162123484e-05,0.00113557326739971,-16.4226685031324
"chr1",25467346,25467346,"+",4.21627152902282e-06,0.000285854135363666,-17.2345917438859
"chr1",25879915,25879915,"+",0,0,21.1920479893893
"chr1",25912980,25912980,"+",4.52035620046587e-09,6.91972682420984e-07,-15.9314329527096
"chr1",26104972,26104972,"+",0,0,28.4167877800399
"chr1",26542571,26542571,"+",8.15786216357139e-10,1.47744614159312e-07,17.0848363005596
"chr1",26609259,26609259,"+",8.06498774208464e-07,6.84364428287323e-05,19.1483803552769
"chr1",26670609,26670609,"+",0,0,16.6618053530008
"chr1",26714161,26714161,"+",0,0,-20.8255648972221
"chr1",27219312,27219312,"+",0,0,21.810555103851
"chr1",27278552,27278552,"+",1.87516668859189e-13,6.63857858476573e-11,15.2098318778227
"chr1",27493522,27493522,"+",2.57545061943532e-08,3.29503628366703e-06,-15.2504973774643
"chr1",27651551,27651551,"+",1.90498130603345e-08,2.51224892556095e-06,-16.6733523205905
"chr1",27665820,27665820,"+",3.90997593902043e-05,0.00189496878322411,-17.202881152461
"chr1",28096610,28096610,"+",4.56275017768348e-11,1.0690715309098e-08,-23.3398998604613
"chr1",28270280,28270280,"+",5.13039788430092e-09,7.75428578571032e-07,-18.8809849521204
"chr1",28270284,28270284,"+",1.29280657290565e-08,1.77729567211226e-06,-19.381316369979
"chr1",28611493,28611493,"+",1.34336985979644e-14,5.6137435690775e-12,-15.1661337935848
"chr1",28611502,28611502,"+",0,0,-18.3038043073254
"chr1",28611561,28611561,"+",1.73141612158645e-10,3.61065421281622e-08,-15.2235299519422
"chr1",28611603,28611603,"+",1.78116743576595e-10,3.70350472816436e-08,-18.8396960704487
"chr1",28611618,28611618,"+",2.82416990904366e-08,3.57654868946207e-06,-18.9555834904672
"chr1",28611643,28611643,"+",3.07610611565146e-05,0.00154999775995704,-18.2756580893227
"chr1",29382180,29382180,"+",8.8798550512692e-08,9.8567829726602e-06,-19.9709332502855
"chr1",29874354,29874354,"+",0,0,23.311018957346
"chr1",30028252,30028252,"+",3.62222247418664e-07,3.4013366569511e-05,21.4896446893407
"chr1",30028302,30028302,"+",1.77602955675482e-07,1.81881364910405e-05,17.4509803921569
"chr1",30028310,30028310,"+",1.26769861275022e-09,2.19661167287198e-07,23.4040820481498
"chr1",30258912,30258912,"+",9.1995525459021e-05,0.00384253269301855,-15.1586731025983
"chr1",30531933,30531933,"+",0,0,16.969696969697
"chr1",30758376,30758376,"+",1.11022302462516e-15,5.36039695960986e-13,16.3577082548059
"chr1",31166787,31166787,"+",0,0,17.8533352136511
"chr1",31166901,31166901,"+",0,0,23.8671988516195
"chr1",31694103,31694103,"+",0,0,15.0253511137783
"chr1",31873536,31873536,"+",9.63708914680783e-06,0.000580259015002564,-16.8664477285167
"chr1",31874022,31874022,"+",4.7126820501564e-07,4.27763252470306e-05,-21.0870673539908
"chr1",31874024,31874024,"+",4.17393674106981e-05,0.00200070309340954,-16.1562442692096
"chr1",31874030,31874030,"+",2.99451143692675e-06,0.000213269306989373,-18.921105571591
"chr1",31874123,31874123,"+",1.11022302462516e-16,5.91807495522432e-14,-17.4296565524564
"chr1",31884967,31884967,"+",1.19704650636265e-08,1.66002435791258e-06,16.6448465718539
"chr1",31894594,31894594,"+",0,0,-21.1889004992453
"chr1",32372881,32372881,"+",0,0,25.7928604010525
"chr1",33457424,33457424,"+",6.26749311916086e-06,0.000401670872350645,-18.846992432987
"chr1",33804410,33804410,"+",2.67813442533793e-08,3.41183542054745e-06,-18.3071314650262
"chr1",34341002,34341002,"+",0,0,26.6080213903743
"chr1",34480161,34480161,"+",5.86375392686023e-12,1.62889778662406e-09,-15.4623239229878
"chr1",35135315,35135315,"+",1.11022302462516e-15,5.36039695960986e-13,16.6140572861011
"chr1",35244608,35244608,"+",1.23913635641237e-06,9.94684269799536e-05,-19.7047496790757
"chr1",35266191,35266191,"+",5.44596140072962e-07,4.85776910607609e-05,-20.9509118954723
"chr1",35833081,35833081,"+",5.82449666275409e-09,8.68944964386972e-07,-18.9239043260839
"chr1",35913782,35913782,"+",0,0,-18.2606436185419
"chr1",35913788,35913788,"+",0,0,-19.1100999019805
"chr1",35915735,35915735,"+",1.79856129989275e-14,7.3769142707434e-12,-16.8052742706942
"chr1",35920148,35920148,"+",0,0,-21.9483491337038
"chr1",35920163,35920163,"+",1.80762960155789e-10,3.75476408102047e-08,-16.7457861546757
"chr1",35937600,35937600,"+",0,0,25.9796099438446
"chr1",36011084,36011084,"+",0,0,-22.1537680494043
"chr1",36028112,36028112,"+",2.8270719099055e-11,6.89533490551662e-09,-20.2293443104969
"chr1",36028136,36028136,"+",4.23237801805421e-07,3.89719216167528e-05,-17.7414320494413
"chr1",36047002,36047002,"+",0,0,17.2724897521565
"chr1",36521275,36521275,"+",9.36262528724585e-05,0.00390004823795639,-16.469104665826
"chr1",36794509,36794509,"+",2.47679654563626e-12,7.36633416523077e-10,-27.1099538279824
"chr1",36814765,36814765,"+",1.32655919582447e-09,2.29108687607644e-07,-18.0737961225766
"chr1",36952850,36952850,"+",2.55018228756398e-13,8.83768448505534e-11,-18.6819423261093
"chr1",37093026,37093026,"+",0,0,27.165105756077
"chr1",37730550,37730550,"+",0,0,15.5560175845747
"chr1",37920820,37920820,"+",0.000148256433511573,0.00568684638475063,-15.6648377701009
"chr1",37937273,37937273,"+",4.4086956307865e-13,1.47352372615298e-10,-15.2019137533604
"chr1",37937300,37937300,"+",5.55111512312578e-16,2.77330253705697e-13,-15.0580752013939
"chr1",37937484,37937484,"+",1.19584342428425e-11,3.13914331634166e-09,-15.0810239996516
"chr1",38171369,38171369,"+",0,0,27.0645354269978
"chr1",38233128,38233128,"+",1.11022302462516e-16,5.91807495522432e-14,-16.9074631310281
"chr1",39340282,39340282,"+",0,0,29.8118688743689
"chr1",39748539,39748539,"+",3.09419156963031e-13,1.05703819621526e-10,15.8292144128968
"chr1",40258695,40258695,"+",0,0,17.6058794960998
"chr1",40426600,40426600,"+",7.37755400965767e-05,0.0032042834082425,-15.4127631433925
"chr1",40480689,40480689,"+",0,0,-18.4794039226943
"chr1",40484058,40484058,"+",1.20554582323518e-05,0.000702563031880186,-19.7519661222021
"chr1",41005263,41005263,"+",3.44326789303295e-11,8.25752652720764e-09,-15.1336550595825
"chr1",41220771,41220771,"+",0,0,-15.2582984658298
"chr1",41268525,41268525,"+",0,0,-21.0038877438118
"chr1",41271755,41271755,"+",0,0,33.7445175438597
"chr1",41285584,41285584,"+",0,0,24.7862173038229
"chr1",41295680,41295680,"+",3.33066907387547e-15,1.51472331743766e-12,15.9346858304337
"chr1",41321413,41321413,"+",1.44974032778578e-10,3.06840696067201e-08,-15.5438909984365
"chr1",41346727,41346727,"+",0,0,-20.4088189782337
"chr1",41402771,41402771,"+",1.91248371428365e-06,0.000144786279453542,-18.2861635220126
"chr1",41583221,41583221,"+",0,0,-15.3518760200521
"chr1",41651030,41651030,"+",3.1855962312477e-11,7.69484988454662e-09,-16.2070073931212
"chr1",42046371,42046371,"+",3.78074756113289e-06,0.000260472219884471,-17.0950499651406
"chr1",42144385,42144385,"+",5.84123860392083e-10,1.09368412846509e-07,15.6619766791446
"chr1",42217955,42217955,"+",2.00598126998131e-08,2.63230135459476e-06,-15.7488952020202
"chr1",42249204,42249204,"+",0,0,-21.3184098510185
"chr1",42384365,42384365,"+",1.57251989207907e-12,4.82814092663913e-10,-16.5667846161189
"chr1",42692080,42692080,"+",7.7134199027995e-10,1.40448433440839e-07,-25.6476956619803
"chr1",42725675,42725675,"+",3.40648528152077e-06,0.000238212973972621,-15.7278481012658
"chr1",42788608,42788608,"+",0,0,-33.0672993960311
"chr1",42843232,42843232,"+",0,0,34.713833157339
"chr1",42876696,42876696,"+",0,0,27.4354023409576
"chr1",43456880,43456880,"+",2.50485188146854e-11,6.1873478688819e-09,-21.6092543105026
"chr1",44022534,44022534,"+",4.14102085954937e-12,1.18221660157652e-09,-15.2443582422522
"chr1",44121289,44121289,"+",6.28548213477131e-10,1.16792770164476e-07,-15.6526112390481
"chr1",44515695,44515695,"+",0,0,-17.8019618407708
"chr1",44566220,44566220,"+",0,0,-24.0709013043736
"chr1",44569098,44569098,"+",1.22901688826005e-13,4.47426490176837e-11,-17.2304672635142
"chr1",44569131,44569131,"+",2.22044604925031e-16,1.15521162270675e-13,-17.4951485296313
"chr1",45147975,45147975,"+",0.000101946018991717,0.00418191258337056,-16.6396524896266
"chr1",45147993,45147993,"+",0.000107914304007806,0.00438353334548403,-17.0204567745551
